Community,bachelors_degree,cash_homesales,hs_completion,income,overdose_calls,owner_occupied,part1_crime,unemployment,vacant_abandoned,vacants_ownedby_city
Allendale/Irvington/S. Hilton,11.7,49.6,73.9,42714.6,7.1,52.3,51.9,9.7,6.5,1.6
Beechfield/Ten Hills/West Hills,23.3,13.5,78.6,55435.5,2.2,75.5,30.7,2.9,0.6,5
Belair-Edison,18.7,40.2,81.6,50010.4,3.5,54.2,44,7.9,3.3,0
Brooklyn/Curtis Bay/Hawkins Point,8.8,56.3,69.3,32598.8,12.4,37,55.6,12,8.1,1.2
Canton,75.3,9.9,79.2,134208.8,1.7,65.1,35.9,2.6,0.4,0
Cedonia/Frankford,19.3,20.5,77.5,51097.8,3.1,68.8,40.2,6.1,1.2,1.3
Cherry Hill,10.2,70.8,72.7,24762.1,5.7,43.6,40.4,14.1,6,1.7
Chinquapin Park/Belvedere,29.5,18.6,81.8,59616.5,4,64.8,26.9,5.8,0.8,0
Claremont/Armistead,9.9,13,80.2,40449.7,3.9,82.4,48.1,2.3,0.1,0
Clifton-Berea,14.1,74.5,70.8,39619.1,18.5,27.5,70.3,12.9,23.7,10.6
Cross-Country/Cheswolde,49.6,42.4,82.8,63371.3,0.5,80.9,13.4,6,0.2,0
Dickeyville/Franklintown,32,15.8,80,45807.8,3.5,65.2,27,3.2,1.9,0
Dorchester/Ashburton,22.5,22.1,78.7,55345.8,5.6,63.3,43.8,8.8,3.2,1.8
Downtown/Seton Hill,69.8,22.9,77.8,59158.5,28.4,37.8,134.6,2.5,9.3,35.4
Edmondson Village,16.6,30.8,75.6,44911.3,3.7,58.1,32.8,5.8,3.9,4.5
Fells Point,74.1,21.2,72.7,97869.6,2.9,48.5,40.3,1.5,0.9,5.4
Forest Park/Walbrook,23.4,28.4,80.8,48992.1,4.1,51.8,42.2,10.8,5.9,1.8
Glen-Fallstaff,29.6,37.8,77.8,44228.1,6.7,70.2,45.4,9,1.1,2.4
Greater Charles Village/Barclay,57,33.3,73.3,45797.7,8.1,43.6,43.1,6.2,4.2,12.8
Greater Govans,20.8,33.5,82.4,43781.9,4.3,52.6,34.5,15.8,3.6,4.5
Greater Mondawmin,17.3,38.4,71.7,40488.6,15.7,43.4,67.6,11.1,13.9,3.2
Greater Roland Park/Poplar Hill,83.3,28.7,91.7,125868.9,0.7,75.1,20.2,1.8,0.1,0
Greater Rosemont,7.3,74.2,78.2,37490,16,38.3,66.2,17.8,19.1,4.6
Greenmount East,13.4,71.2,81.3,32207.9,16.7,24.8,65.3,16.9,29.2,18
Hamilton,36.1,15.5,86.6,72534.9,2,73.4,27,5,1,0
Harbor East/Little Italy,42.2,23.6,71.4,61235.2,16.9,33.2,76.6,5.3,1.6,14.3
Harford/Echodale,32.8,10.9,79.7,61434.2,2.3,76,27.6,4.8,0.7,0
Highlandtown,61.5,9.2,75,99549.1,3.6,57.2,46.7,3.6,1.2,0
Howard Park/West Arlington,25.7,19.5,83.6,50991.6,4.7,68.5,41.2,11.6,1.7,0
Inner Harbor/Federal Hill,74.3,14.3,82.4,104058.3,3.7,58.3,33.3,1.2,0.4,0
Lauraville,38.8,22.2,83,70883.2,1.5,71.3,29.4,6.2,1.2,0
Loch Raven,26.5,18.1,77.5,55191.4,1.5,74.3,25.6,9.3,0.4,0
Madison/East End,7.3,68.3,66.7,37302.9,18.9,22.1,87.3,17.5,18.7,9.2
Medfield/Hampden/Woodberry/Remington,60.5,13.6,93,72756.9,2.8,65.2,36.7,3.3,0.7,0
Midtown,64.6,17.3,83.3,58809.8,7.4,40.3,45.7,5.9,1.2,4.9
Midway/Coldstream,10.8,68.4,75,35897.9,13,30.3,73.9,24.4,19.8,5.5
Morrell Park/Violetville,14.1,34.6,84.6,43842.8,12.2,59.9,56.9,9,1.9,0
Mount Washington/Coldspring,66.4,16.7,88,86714.8,2.8,79.7,17.1,6,0.2,0
North Baltimore/Guilford/Homeland,75.1,17.7,97.2,114246.7,1.5,73.6,13.9,5.1,0.5,0
Northwood,28.7,23.7,74.6,56756.6,2.3,76.6,28.6,7.8,0.5,0
Oldtown/Middle East,20.1,18.8,69.7,24190.7,15.1,35.2,78.6,14.7,9.9,32
Orangeville/East Highlandtown,30.1,26,85.4,69139.1,9.7,47.9,67.5,3.3,1.1,0
Patterson Park North & East,51.4,21,85.2,80328,5.8,47.7,49.9,5.7,3.5,2.3
Penn North/Reservoir Hill,24.4,45.3,75,33920.8,27.1,32.5,58.8,6.2,15.8,4.4
Pimlico/Arlington/Hilltop,13.5,58.5,81.1,34041.7,15.9,44.3,58.6,8.9,15,12.2
Poppleton/The Terraces/Hollins Market,23.3,44.4,66.7,23373.6,16.1,27.8,53.1,11,9.3,16.7
Sandtown-Winchester/Harlem Park,6.9,87.7,81,26689.5,27.2,25.7,76.1,14.3,32,16.2
South Baltimore,75.1,7.4,100,124827.1,1.5,70.4,17.4,1.5,0.2,0
Southeastern,9.4,29.6,83.3,41980.9,10.9,54.2,61.6,10.1,1.1,0
Southern Park Heights,11.4,60,72.3,30312.4,8.3,38.9,51.4,15.1,18,16
Southwest Baltimore,9.1,85.3,67.8,29768.3,33.1,21,89.8,11.4,29.9,8.3
The Waverlies,28.6,28.6,80,43890.4,4.1,54.2,44.6,8.7,4.3,1.7
Upton/Druid Heights,12.8,49.3,76.5,21530.5,41.7,27.7,68.6,13.8,27,30.9
Washington Village/Pigtown,37.2,20.9,80,48941.5,24.5,39.9,104.3,9.6,5.7,1.9
Westport/Mount Winans/Lakeland,15.3,80,76.5,35200.6,5,42.5,58,9.5,7.4,1.9
